window_id,row_id,packet_id_start,packet_id_end,time_start,time_end,window_run_id,window_run_count,window_run_mixed,window_packet_count,duration_sec,length_mean,length_std,length_min,length_max,length_q25,length_q50,length_q75,info_len_mean,info_len_std,info_len_max,src_unique,dst_unique,proto_unique,src_entropy,dst_entropy,proto_entropy,missing_source_ratio,broadcast_dst_ratio,ra_marker_ratio,bssid_marker_ratio,ip_endpoint_ratio,attack_packet_count,attack_packet_ratio,window_label_rule,window_no_attack_count,window_deauth_count,window_wpa2_count,window_tello_count,y_bin,y_attack_type,y_attack_type_name,y_risk,y_risk_name,attack_scenario_meta,packet_attack_type_mode_meta,session_id,split,proto_802_11_count,proto_802_11_ratio,proto_udp_count,proto_udp_ratio,proto_eapol_count,proto_eapol_ratio,proto_icmp_count,proto_icmp_ratio,info_tok_ack_count,info_tok_ack_ratio,info_tok_deauthentication_count,info_tok_deauthentication_ratio,info_tok_authentication_count,info_tok_authentication_ratio,info_tok_eapol_count,info_tok_eapol_ratio,info_tok_beacon_count,info_tok_beacon_ratio,info_tok_probe_count,info_tok_probe_ratio,info_tok_request_count,info_tok_request_ratio,info_tok_response_count,info_tok_response_ratio,info_tok_data_count,info_tok_data_ratio,info_tok_null_count,info_tok_null_ratio,info_tok_qos_count,info_tok_qos_ratio,info_tok_udp_count,info_tok_udp_ratio,info_tok_icmp_count,info_tok_icmp_ratio,info_tok_exploit_count,info_tok_exploit_ratio,info_tok_api_count,info_tok_api_ratio,info_tok_sae_count,info_tok_sae_ratio,info_tok_handshake_count,info_tok_handshake_ratio
0,0,0,63,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,28.25,1.984313483298443,28.0,44.0,28.0,28.0,28.0,31.40625,3.22450941035997,57.0,1,3,1,-0.0,0.4519384388695526,-0.0,0.984375,0.0,0.984375,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00000,train,64,1.0,0,0.0,0,0.0,0,0.0,63,0.984375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.015625,1,0.015625,1,0.015625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1,64,127,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,30.3125,14.591173487763074,28.0,144.0,28.0,28.0,28.0,32.40625,6.4583249327902355,69.0,2,4,1,0.9182958340544896,0.7059138107865213,-0.0,0.953125,0.015625,0.953125,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00001,train,64,1.0,0,0.0,0,0.0,0,0.0,61,0.953125,0,0.0,0,0.0,0,0.0,1,0.015625,0,0.0,0,0.0,0,0.0,2,0.03125,2,0.03125,2,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,2,128,191,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,30.3125,14.591173487763074,28.0,144.0,28.0,28.0,28.0,32.40625,6.4583249327902355,69.0,2,4,1,0.9182958340544896,0.7059138107865213,-0.0,0.953125,0.015625,0.953125,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00002,train,64,1.0,0,0.0,0,0.0,0,0.0,61,0.953125,0,0.0,0,0.0,0,0.0,1,0.015625,0,0.0,0,0.0,0,0.0,2,0.03125,2,0.03125,2,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,3,192,255,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,2,1,0.0,0.20062232431271465,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00003,train,64,1.0,0,0.0,0,0.0,0,0.0,64,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,4,256,319,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,30.3125,14.591173487763074,28.0,144.0,28.0,28.0,28.0,32.40625,6.4583249327902355,69.0,2,4,1,0.9182958340544896,0.648832331134527,-0.0,0.953125,0.015625,0.953125,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00004,train,64,1.0,0,0.0,0,0.0,0,0.0,61,0.953125,0,0.0,0,0.0,0,0.0,1,0.015625,0,0.0,0,0.0,0,0.0,2,0.03125,2,0.03125,2,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,5,320,383,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,28.5,2.7838821814150108,28.0,44.0,28.0,28.0,28.0,31.8125,4.523808544799393,57.0,1,3,1,-0.0,0.5924316987214517,-0.0,0.96875,0.0,0.96875,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00005,train,64,1.0,0,0.0,0,0.0,0,0.0,62,0.96875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.03125,2,0.03125,2,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,6,384,447,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,30.3125,14.591173487763074,28.0,144.0,28.0,28.0,28.0,32.40625,6.4583249327902355,69.0,2,4,1,0.9182958340544896,0.7059138107865213,-0.0,0.953125,0.015625,0.953125,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00006,train,64,1.0,0,0.0,0,0.0,0,0.0,61,0.953125,0,0.0,0,0.0,0,0.0,1,0.015625,0,0.0,0,0.0,0,0.0,2,0.03125,2,0.03125,2,0.03125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,7,448,511,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,64,0.0,29.8125,14.386272753913712,28.0,144.0,28.0,28.0,28.0,31.59375,4.712744522833802,69.0,1,3,1,-0.0,0.31601597513537405,-0.0,0.984375,0.015625,0.984375,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00007,train,64,1.0,0,0.0,0,0.0,0,0.0,63,0.984375,0,0.0,0,0.0,0,0.0,1,0.015625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,8,512,575,2021-09-12 04:34:00,2021-09-12 22:27:00,run_0002__No_Attack,2,1,64,64380.0,162.375,230.3396608814904,28.0,564.0,28.0,28.0,212.0,32.859375,3.091658067991187,38.0,1,3,1,-0.0,0.9442075268769006,-0.0,0.734375,0.0,0.734375,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,Wifi Deauthentication Attack,No Attack,atk0_No_Attack__win_00008,train,64,1.0,0,0.0,0,0.0,0,0.0,47,0.734375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,17,0.265625,0,0.0,17,0.265625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,9,576,639,2021-09-12 22:27:00,2021-09-12 22:27:00,run_0002__No_Attack,1,0,64,0.0,231.21875,255.17086608474233,28.0,564.0,28.0,28.0,564.0,33.84375,3.4379261099534992,38.0,1,3,1,-0.0,1.1511135511938806,-0.0,0.59375,0.0,0.59375,0.0,0.0,0,0.0,highest_risk,64,0,0,0,0,0,No Attack,0,normal,Wifi Deauthentication Attack,No Attack,atk0_No_Attack__win_00009,train,64,1.0,0,0.0,0,0.0,0,0.0,38,0.59375,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.40625,0,0.0,26,0.40625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
