window_id,row_id,packet_id_start,packet_id_end,time_start,time_end,window_run_id,window_run_count,window_run_mixed,window_packet_count,duration_sec,length_mean,length_std,length_min,length_max,length_q25,length_q50,length_q75,info_len_mean,info_len_std,info_len_max,src_unique,dst_unique,proto_unique,src_entropy,dst_entropy,proto_entropy,missing_source_ratio,broadcast_dst_ratio,ra_marker_ratio,bssid_marker_ratio,ip_endpoint_ratio,attack_packet_count,attack_packet_ratio,window_label_rule,window_no_attack_count,window_deauth_count,window_wpa2_count,window_tello_count,y_bin,y_attack_type,y_attack_type_name,y_risk,y_risk_name,attack_scenario_meta,packet_attack_type_mode_meta,session_id,split,proto_802_11_count,proto_802_11_ratio,proto_udp_count,proto_udp_ratio,proto_eapol_count,proto_eapol_ratio,proto_icmp_count,proto_icmp_ratio,info_tok_ack_count,info_tok_ack_ratio,info_tok_deauthentication_count,info_tok_deauthentication_ratio,info_tok_authentication_count,info_tok_authentication_ratio,info_tok_eapol_count,info_tok_eapol_ratio,info_tok_beacon_count,info_tok_beacon_ratio,info_tok_probe_count,info_tok_probe_ratio,info_tok_request_count,info_tok_request_ratio,info_tok_response_count,info_tok_response_ratio,info_tok_data_count,info_tok_data_ratio,info_tok_null_count,info_tok_null_ratio,info_tok_qos_count,info_tok_qos_ratio,info_tok_udp_count,info_tok_udp_ratio,info_tok_icmp_count,info_tok_icmp_ratio,info_tok_exploit_count,info_tok_exploit_ratio,info_tok_api_count,info_tok_api_ratio,info_tok_sae_count,info_tok_sae_ratio,info_tok_handshake_count,info_tok_handshake_ratio
0,0,0,7,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,30.0,5.291502622129181,28.0,44.0,28.0,28.0,28.0,34.25,8.59869176095992,57.0,1,3,1,-0.0,1.2987949406953985,-0.0,0.875,0.0,0.875,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00000,train,8,1.0,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1,1,8,15,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,2,1,0.0,0.5435644431995964,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00001,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2,2,16,23,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,1,1,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00002,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,3,24,31,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,1,1,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00003,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,4,32,39,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,1,1,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00004,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
5,5,40,47,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,1,1,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00005,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
6,6,48,55,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,1,1,0.0,-0.0,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00006,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,7,56,63,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,2,1,0.0,0.5435644431995964,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00007,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
8,8,64,71,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,30.0,5.291502622129181,28.0,44.0,28.0,28.0,28.0,34.25,8.59869176095992,57.0,1,3,1,-0.0,1.061278124459133,-0.0,0.875,0.0,0.875,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00008,train,8,1.0,0,0.0,0,0.0,0,0.0,7,0.875,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.125,1,0.125,1,0.125,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
9,9,72,79,2021-09-12 04:34:00,2021-09-12 04:34:00,run_0001__No_Attack,1,0,8,0.0,28.0,0.0,28.0,28.0,28.0,28.0,28.0,31.0,0.0,31.0,0,2,1,0.0,0.5435644431995964,-0.0,1.0,0.0,1.0,0.0,0.0,0,0.0,highest_risk,8,0,0,0,0,0,No Attack,0,normal,No Attack,No Attack,atk0_No_Attack__win_00009,train,8,1.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
